Company,PROFIT,SIZE,GROWTH,LEVERAGE,GLIC_LTAT,GLIC_KWP,GLIC_LTH,GLIC_KNB,GLIC_PNB,GLIC_KWSP,BODsize,BODind,Duality,MusCh,MusCEO,MaleCEO,AUDsize,AUDind,Audit firm,INDIPC,IND TradSER,IND Plant,IND Const,IND Finance,IND indstrial prod,IND cons
CIMB GROUP,0.012886826,8.616878395,1.54,0.907241777,0,3.58,0,29.31,0,14.16,14,6,1,1,1,1,6,4,1,0,0,0,0,1,0,0
SIME DARBY BHD,0.126589847,7.675151186,2.13,0.431882717,0,1.69,0.76,0,10.04,11.04,12,5,0,1,1,1,5,4,1,0,1,0,0,0,0,0
Chemical company of Malaysia,0.05140889,6.309617181,0.7,0.525498557,0,0,1.65,0,73.59,0,8,3,1,1,1,1,3,2,1,0,0,0,0,0,1,0
BOUSTEAD HOLDINGS,0.079628805,6.963915265,0.79,0.489421583,59.28,0,0,0,0,0,6,3,0,1,1,1,3,2,1,0,0,1,0,0,0,0
AFFIN HOLDINGS,0.01285093,7.823837437,0.84,0.880224671,35.28,0,0,0,0,7.61,11,5,1,1,1,1,3,3,1,0,0,0,0,1,0,0
CIMB GROUP,0.019777906,8.527561001,2.07,0.912889902,0,2.79,0,29.9,0,12.92,9,5,1,1,1,1,3,3,1,0,0,0,0,1,0,0
MALAYSIAN RESOURCES (MRCB),0.004948387,6.817513211,1.4,0.735625176,0,0,8.8,0,0,38.87,10,5,0,1,1,1,4,3,1,0,0,0,1,0,0,0
MALAYSIA AIRPORTS,0.077284707,6.845252187,1.67,0.530257187,0,0,0,54,0,0,13,3,0,1,1,1,4,3,1,0,1,0,0,0,0,0
SIME DARBY BHD,0.100315353,7.677005275,2.11,0.411346802,0,2.87,1.66,0,10.95,13.13,14,5,0,1,1,1,4,3,1,0,1,0,0,0,0,0
Malaysian Building Society ,0.025355961,7.571667811,1.23,0.874454282,0,0,0,0,3.48,64.14,8,4,0,1,1,1,3,2,1,0,0,0,0,1,0,0
SIME DARBY BHD,0.133508548,7.625662216,2.28,0.41238102,0,3,1.88,0,11.9,10.58,13,5,0,1,1,1,4,3,1,0,1,0,0,0,0,0
TH PLANTATIONS BHD,0.153530908,6.095743845,1.66,0.343321451,0,3.16,59.69,0,0,6.15,9,7,0,1,1,1,3,3,1,0,0,1,0,0,0,0
AFFIN HOLDINGS,0.014636915,7.777695596,1.01,0.893609702,35.18,0,0,0,0,7.79,13,6,1,1,1,1,3,3,1,0,0,0,0,1,0,0
AFFIN HOLDINGS,0.015403831,7.746901006,0.88,0.891742084,35.18,0,0,0,0,6.68,11,5,1,1,1,1,3,3,1,0,0,0,0,1,0,0
UMW HOLDINGS,0.094740518,7.162491849,2.6,0.3855554,0,0,0,0,4.81,15.82,8,3,1,1,1,1,3,2,1,0,0,0,0,0,0,1
MALAYSIA AIRPORTS,0.088039309,6.869593618,1.99,0.521092619,0,0,0,54,0,0,11,3,0,1,1,1,5,3,1,0,1,0,0,0,0,0
Chemical company of Malaysia,0.047476975,6.297812142,0.94,0.561985578,0,0,1.86,0,70.4,8.89,11,4,1,1,1,1,5,3,1,0,0,0,0,0,1,0
UMW HOLDINGS,0.165930634,7.069733717,1.84,0.465361963,0,0,0,0,1.92,12.71,9,3,1,1,1,1,4,3,1,0,0,0,0,0,0,1
MALAYSIA AIRPORTS,0.047781011,7.336997246,1.67,0.704314896,1.14,0,0,36.65,2.67,0,13,4,0,1,1,1,4,3,1,0,1,0,0,0,0,0
Malaysian Building Society ,0.024976667,7.239669961,1.66,0.934917273,0,0,0,0,7.38,65.5,8,3,0,1,1,1,6,4,1,0,0,0,0,1,0,0
